Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
פירוט עסקאות,,יוני 2025,,,,,,
,,,,,,,,
,,,,,,,,
‫פלטינה מסטרקארד‬ - 5232,,,,,,,"₪ 14,831.90",
על שם עמית אדנזון,,,,,,,לחיוב ב-02.06,
,,,,,,,,
,,,,,,,,
עסקאות למועד חיוב,,,,,,,,
תאריך רכישה,שם בית עסק,סכום עסקה,מטבע עסקה,סכום חיוב,מטבע חיוב,מס' שובר,פירוט נוסף,
30.05.25,טעינות - חבר של קבע,455,₪,455,₪,432429242,,
29.05.25,CHOP SHOP,670,₪,670,₪,426978786,,
29.05.25,ווק טו ווק שרונה,65.5,₪,65.5,₪,427509720,,
28.05.25,דלק מנטה הצבי,74.15,₪,74.15,₪,411579034,,
28.05.25,קפה עלית בר אילן ניי,13,₪,13,₪,419037860,,
27.05.25,מנטנטן,200,₪,200,₪,415406877,,
26.05.25,קופי טיים צבא מרגנית,32,₪,32,₪,408364426,,
26.05.25,"איתוראן הו""ק בע""מ",9.07,₪,9.07,₪,402587830,הוראת קבע,
26.05.25,"רשת כוורת בצה""ל -טלפ",16,₪,16,₪,403007610,,
25.05.25,ADOBE.COM                ,70,₪,70,₪,401523991,"אתר חו""ל",
25.05.25,טעינות - חבר של קבע,70,₪,70,₪,398228323,,
23.05.25,אינטרנט - אליאסי שיו,202.5,₪,202.5,₪,389319127,,
23.05.25,סיטי מרקט ברכאל חולו,6,₪,6,₪,389659096,,
22.05.25,GOOGLE *COLAB            ,32.4,₪,32.4,₪,381697287,"אתר חו""ל",
21.05.25,תחנת דלק מיקה הפלד,71.37,₪,71.37,₪,375230522,,
21.05.25,קופי טיים צבא מרגנית,32,₪,32,₪,375236865,,
21.05.25,ג'אנגו,126,₪,126,₪,370389047,,
20.05.25,OPENAI *CHATGPT SUBSCR   ,20,$,71.85,₪,371105746,"אתר חו""ל",
19.05.25,"לאן משרד כרטיסים בע""",35,₪,35,₪,362126012,,
